descriere,pretAchizitie,pretVanzare,manopera
SISTEM FOTOVOLTAIC COMPLET ECHIPAT 79.2KW,27800.00,34750.00,0.00
Centrala alarmare la efractie si control acces cu acumulatori,400.00,500.00,0.00
Modul extensie efractie,50.00,62.50,0.00
Tastatura armare/dezarmare,110.00,137.50,0.00
Detector PIR,40.00,50.00,0.00
Sirena de efractie de interior,20.00,25.00,0.00
Sirena de efractie de exterior cu lampa flash,60.00,75.00,0.00
Modul control acces,50.00,62.50,0.00
Cititor de proximitate,25.00,31.25,0.00
Buton deschidere usa,15.00,18.75,0.00
Buton de deschidere in caz de urgenta,15.00,18.75,0.00
"Dispozitiv electromagnetic blocare usa, cu suport fixare si accesorii prindere incluse",40.00,50.00,0.00
Amortizor usa hidraulic,20.00,25.00,0.00
Cartela de proximitate,1.00,1.25,0.00
Statie managment de control acces cu software de control acces si efractie,2000.00,2500.00,0.00
Network video recorder 64 canale vdeo si audio,2350.00,2937.50,0.00
"Monitor video 55""",415.00,518.75,0.00
"Switch 24 port, POE",400.00,500.00,0.00
Patch pannel 24 port,110.00,137.50,0.00
"Camera video de interior/exterior cu microfon incorporat, tip IP",150.00,187.50,0.00
"Rack 22U, echipat cu powerbar(2×7 prize 230Vca) si ventilatoare cu termostat, kit impamantare",700.00,875.00,0.00
UPS 2200 VA,600.00,750.00,0.00
Tablou BMS - TBMS_P,0.00,0.00,0.00
Dispecerat BMS,2500.00,3125.00,0.00
Senzori temperatura,120.00,150.00,0.00
Modul comunicatie Generator Diesel,1000.00,1250.00,0.00
"Corp de iluminat, montat pe dibluri (bolturi) metalice",40.00,50.00,12.00
"Corp de iluminat, montat pe dibluri (bolturi) metalice",50.00,62.50,12.00
"Corp de iluminat, montat pe dibluri (bolturi) metalice",30.00,37.50,15.00
"Corp de iluminat, montat pe dibluri (bolturi) metalice",200.00,250.00,20.00
"Corp de iluminat, montat pe dibluri (bolturi) metalice",35.00,43.75,12.00
"Corp de iluminat, montat pe dibluri (bolturi) metalice",30.00,37.50,12.00
"Corpuri de iluminat speciale ... monobloc pentru iluminatul de siguranta la întreruperea curentului din retea, complet cu accesorii si becuri, cu baterie semiuscata, montat pe dibluri (bolturi) metalice ILUMINAT SIGURANTA",30.00,37.50,10.00
"Corp de iluminat, montat pe dibluri (bolturi) metalice",30.00,37.50,10.00
"Corp de iluminat, montat pe dibluri (bolturi) metalice",40.00,50.00,12.00
"Corp de iluminat, montat pe dibluri (bolturi) metalice",30.00,37.50,12.00
Incercarea cablurilor de energie electrica ... de maximum 1 kV,0.00,0.00,15.00
"Intreruptor manual ... unipolar, constructie normala sau impermeabila(flans), montat îngropat",11.00,13.75,10.00
"Intreruptor manual ... unipolar, constructie normala sau impermeabila (flans), montat îngropat",7.00,8.75,10.00
"Intreruptor manual ... unipolar, constructie normala sau impermeabila (flans), montat îngropat",7.00,8.75,10.00
"Intreruptor manual ... unipolar, constructie normala sau impermeabila (flans), montat îngropat",9.00,11.25,10.00
"Buton de actionare si comanda pentru actionarea automatului de scara sau pentru sonerie, simplu sau cu loc de carte de vizita, montat îngropat",7.00,8.75,10.00
"Intreruptor manual ... unipolar, constructie normala sau impermeabila (flans), montat îngropat",35.00,43.75,15.00
"Priza ... bipolara, simpla sau dubla, constructie normala sau constructie impermeabila (flans), cu sau fara contact de protectie (nul), montata îngropat",15.00,18.75,10.00
"Priza ... bipolara, simpla sau dubla, constructie normala sau constructie impermeabila (flans), cu sau fara contact de protectie (nul), montata îngropat",9.00,11.25,10.00
"Doza de derivatie, pentru cabluri sau tevi de instalatii, montata ... în mediu normal, tip NBU-PG 21",3.00,3.75,10.00
"Doza de derivatie, pentru cabluri sau tevi de instalatii, montata ... în mediunormal, tip NBU-PG 21",3.00,3.75,10.00
"Cablu pentru energie electrica, montat cu scoabe (cleme de prindere) pe console sau pe pod de cabluri, cablul având conducte cu sectiunea ... pîna la 10 mmp, montat pe console fixate cu dibluri (bolturi) metalice",0.89,1.11,1.50
"Cablu pentru energie electrica, montat cu scoabe (cleme de prindere) pe console sau pe pod de cabluri, cablul având conducte cu sectiunea ... pîna la 10 mmp, montat pe console fixate cu dibluri (bolturi) metalice",0.89,1.11,1.50
"Cablu pentru energie electrica, montat cu scoabe (cleme de prindere) pe console sau pe pod de cabluri, cablul având conducte cu sectiunea ... pîna la 10 mmp, montat pe console fixate cu dibluri (bolturi) metalice",1.32,1.65,1.50
"Cablu pentru energie electrica, montat cu scoabe (cleme de prindere) pe console sau pe pod de cabluri, cablul având conducte cu sectiunea pîna la 10 mmp, montat pe console fixate cu dibluri (bolturi) metalice",2.10,2.63,1.50
"Cablu pentru energie electrica, montat cu scoabe (cleme de prindere) pe console sau pe pod de cabluri, cablul având conducte cu sectiunea ... pîna la 10 mmp, montat pe console fixate cu dibluri (bolturi) metalice",1.07,1.34,1.50
